record_id,portraited_person,wikidata_id,filename,creator,name_norm,creator_wikidata_id,created,description,format,publisher,rights,source,subject,original_filename,size
887,Laurent Marqueste (1848-1920),Q1971720,427553c3fefe6d7f4bcbaff6fe996e0b.jpg,Édouard Toudouze,Édouard Toudouze,Q3580047,1871,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.277,portrait,MARQUESTE.jpg,122001
890,Armand Martial (1884-1960),Q2861917,7c305c837a76b72e5cb03aac1351221c.jpg,anonymous,anonymous,Q4233718,1913,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.427,portrait,MARTIAL.JPG,93540
893,Achille-Louis Martinet (1806-1877),Q18507678,8e2f9efe09f1500dc3bf54bb7d0d83de.jpg,anonymous,anonymous,Q4233718,1831-1835,"huile, toile, collé, contreplaqué",22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.84,portrait,MARTINET.JPG,99720
896,Victor Massé (1822-1884),Q1382004,77bde14938ae3e5df7e2c573d1f624cb.jpg,Félix-Joseph Barrias,Félix-Joseph Barrias,Q3092343,1847,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.150,portrait,V MASSÉ.jpg,139628
897,Jules Massenet (1842-1912),Q194436,62d20f68cc598c9bd7b7ed263f7cdcc2.jpg,Joseph-Fortuné-Séraphin Layraud,Joseph-Fortuné-Séraphin Layraud,Q3184246,1865,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.241,portrait,MASSENET.jpg,149565
898,Jean Massin (1793-NA),Q1474384,b6be987cee6b687fe68cd7eb9e099fe0.jpg,François Dubois,François Dubois,Q2126266,1822,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.41,portrait,turina2016_0_41 dopo (FILEminimizer).jpg,642332
908,Antonin Mercié (1845-1916),Q2274629,38b69ccc463ecba4a72d0c0feb90614f.jpg,anonymous,anonymous,Q4233718,1868,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.263,portrait,MERCIÉ.jpg,123047
910,Louis Merley (1815-1883),Q8336662,1f738be5d25dcaa49f78e35c99b81a59.jpg,Eugène Jean Damery,Eugène Jean Damery,Q52154928,1843-1847,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.145,portrait,MERLEY.jpg,127223
919,Ernest Michel (1833-1902),Q3057087,3cc63003c627f21ca30e82217ffa80c8.jpg,Ernest Michel,Ernest Michel,Q3057087,1860,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.220,auto-portrait,MICHEL.jpg,89979
920,Pierre Miciol (1833-1905),Q18641010,88fc2e3f362f8daa815dc3b401136091.jpg,anonymous,anonymous,Q4233718,1860,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.226,portrait,MICIOL.jpg,142731
927,Alphonse Monchablon (1835-1907),Q2839915,def9626392174bea62ab5f4a78eb6c7b.jpg,anonymous,anonymous,Q4233718,1863,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.237,portrait,MONCHABLON.jpg,95625
934,Alexandre Montfort (1803-1856),Q2643754,1945b9c0bd852b1b2d9574b35d3d8037.jpg,Émile Signol,Émile Signol,Q3588762,1831-1835,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.85,portrait,MONTFORT.JPG,103697
940,Aimé Morot (1850-1913),Q405759,412031ad5b0021aa36669ef2fce6a5bc.jpg,Albert Bénard,NA,NA,1873,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.285,portrait,MOROT.jpg,137724
